model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,3ec21e,desktop,20.0,0.594209843892391,0.5653170974033562,1.1377517774017134
claude-opus-4.6,3ec21e,desktop,40.0,0.699931634649154,0.6195627157949785,0.5258787246220469
claude-opus-4.6,3ec21e,desktop,60.0,0.6903796278308985,0.5763523732366149,0.5742574795901308
claude-opus-4.6,f9e25e,desktop,20.0,0.30766109318441265,0.4627689180222301,2.068897793946377
claude-opus-4.6,f9e25e,desktop,40.0,0.44643997074649894,0.6064574983708239,0.6066331752869656
claude-opus-4.6,f9e25e,desktop,60.0,0.5472672117143211,0.6392593653155467,0.42797964714527004
claude-opus-4.6,1fdbf2,desktop,20.0,0.44713250590816933,0.4889963730194769,2.1678907538914
claude-opus-4.6,1fdbf2,desktop,40.0,0.5481118220933339,0.6041371185089877,0.7375028877068258
claude-opus-4.6,1fdbf2,desktop,60.0,0.5570096302589065,0.608383361880692,0.5756135154459255
claude-opus-4.6,67225a,desktop,20.0,0.6547163197558816,0.6316030901820557,0.6626388477483999
claude-opus-4.6,67225a,desktop,40.0,0.7267620673545004,0.6733750924334817,0.36834370707190955
claude-opus-4.6,67225a,desktop,60.0,0.7150829825563654,0.6588379445707917,0.38475296125995023
claude-opus-4.6,5a6a69,desktop,20.0,0.3220462183662254,0.4628817277179498,1.442504485577707
claude-opus-4.6,5a6a69,desktop,40.0,0.5110798521289295,0.5826654561838556,0.6031435414661532
claude-opus-4.6,5a6a69,desktop,60.0,0.561422994341727,0.5740018986013284,0.5920670510297792
claude-opus-4.6,2bb7d4,desktop,20.0,0.16180818392054847,0.3081176816868456,4.383508478481598
claude-opus-4.6,2bb7d4,desktop,40.0,0.2750371923706007,0.4732767514645039,1.9286348764431278
claude-opus-4.6,2bb7d4,desktop,60.0,0.31939953420355144,0.505351252701303,1.1682872700408613
claude-opus-4.6,2fe128,desktop,20.0,0.1424806530770043,0.2950942144882012,4.9186308830075
claude-opus-4.6,2fe128,desktop,40.0,0.23275051656920126,0.43373396124875746,2.5813847363191313
claude-opus-4.6,2fe128,desktop,60.0,0.2847612546220409,0.479288675258476,1.467376796091604
claude-opus-4.6,b5dab9,desktop,20.0,0.15992672995764856,0.3207195090317402,2.80938403125603
claude-opus-4.6,b5dab9,desktop,40.0,0.2559866452527882,0.4540407482217194,1.0217483861614087
claude-opus-4.6,b5dab9,desktop,60.0,0.2957525478086989,0.4836187796272214,0.8548551805496444
claude-opus-4.6,075286,desktop,20.0,0.3779506925523435,0.3878361055662131,3.4929121051736396
claude-opus-4.6,075286,desktop,40.0,0.47510321571266706,0.48225895444193534,1.8008142231167898
claude-opus-4.6,075286,desktop,60.0,0.4847737324779222,0.4955115878372253,1.2310795897023208
claude-opus-4.6,7cc04a,desktop,20.0,0.21362294667067214,0.3398589091620586,2.9883763087771698
claude-opus-4.6,7cc04a,desktop,40.0,0.36862366041548883,0.46900184196582495,1.2875386674726044
claude-opus-4.6,7cc04a,desktop,60.0,0.4641895161924937,0.5123047251362827,0.8910401506313496
claude-opus-4.6,a7ac1b,desktop,20.0,0.33919047371491595,0.5017247782296983,1.3247691973201732
claude-opus-4.6,a7ac1b,desktop,40.0,0.4902437830625267,0.5660690499512921,0.642037203163454
claude-opus-4.6,a7ac1b,desktop,60.0,0.5207126253543932,0.5529914278499583,0.6276753116448074
claude-opus-4.6,af5f27,desktop,20.0,0.24457219652287507,0.33349683759364956,4.078380215291873
claude-opus-4.6,af5f27,desktop,40.0,0.3657718649275026,0.44335078460762006,1.9815570832073244
claude-opus-4.6,af5f27,desktop,60.0,0.3752366452946132,0.44662336404848674,1.3776044615320757
claude-opus-4.6,57f74a,desktop,20.0,0.10644252770155146,0.3234415716547138,4.220399735771412
claude-opus-4.6,57f74a,desktop,40.0,0.13987511497209598,0.4911129233398669,1.7114477926324638
claude-opus-4.6,57f74a,desktop,60.0,0.14651964211536547,0.55403515964309,1.0082446163826702
claude-opus-4.6,db12fc,desktop,20.0,0.019326781812038438,0.27661080345058353,4.843783950941844
claude-opus-4.6,db12fc,desktop,40.0,0.06568276897410529,0.4147893670729784,2.0776735314935353
claude-opus-4.6,db12fc,desktop,60.0,0.10924835375559316,0.45030862750769035,1.257520128843242
claude-opus-4.6,4f9082,desktop,20.0,0.19543919123153583,0.27421165676370807,4.317096336575982
claude-opus-4.6,4f9082,desktop,40.0,0.30787360115917245,0.3920609712204094,1.809244558302218
claude-opus-4.6,4f9082,desktop,60.0,0.3935726347659314,0.4478126540013472,1.1446699586615947
claude-opus-4.6,592d83,desktop,20.0,0.4096217213943207,0.395325948334376,3.210439252873513
claude-opus-4.6,592d83,desktop,40.0,0.5188424180142263,0.5280088432334415,1.2641566621979115
claude-opus-4.6,592d83,desktop,60.0,0.5186863700899107,0.5538493873254859,0.8894476780795273
claude-opus-4.6,82361c,desktop,20.0,0.0752615389511393,0.2487883499598703,4.663711040616608
claude-opus-4.6,82361c,desktop,40.0,0.19933548951235286,0.3575638725584465,2.4088260248325697
claude-opus-4.6,82361c,desktop,60.0,0.29693154872429073,0.3982111107669851,1.556489660221143
claude-opus-4.6,0529f2,desktop,20.0,0.34207240692290586,0.41584295422523676,2.6312481947934687
claude-opus-4.6,0529f2,desktop,40.0,0.4966211009834743,0.5332478510360241,1.2695007664930915
